#
# Initial mass = 2.250, Z =  0.0070, Y =  0.260, M_mix = 1.00E-03
#
# Initial abundances
# El  Z   log e(X)   [X/H]    [X/Fe]     [X/O]      X(i)
  p   1  12.000000  0.000000  0.000000  0.000000 7.38784E-01
 he   2  10.947809  0.017809  0.329395  0.335269 2.60167E-01
  c   6   8.158406 -0.311594 -0.000008  0.005866 1.26778E-03
  n   7   7.558417 -0.311583  0.000004  0.005877 3.71381E-04
  o   8   8.412539 -0.317460 -0.005874  0.000000 3.03172E-03
  f   9   4.148407 -0.311593 -0.000007  0.005867 1.95962E-07
 ne  10   7.658412 -0.311588 -0.000002  0.005872 6.73581E-04
 na  11   5.998426 -0.311574  0.000013  0.005887 1.67889E-05
 mg  12   7.328410 -0.311590 -0.000003  0.005870 3.79457E-04
 al  13   6.158416 -0.311584  0.000002  0.005876 2.84805E-05
 si  14   7.238416 -0.311584  0.000002  0.005876 3.56421E-04
  p  15   5.158416 -0.311584  0.000002  0.005876 3.26942E-06
  s  16   6.848414 -0.311585  0.000001  0.005875 1.65769E-04
 cl  17   4.918414 -0.311586  0.000000  0.005874 2.15339E-06
 ar  18   6.128408 -0.311592 -0.000006  0.005868 3.93514E-05
  k  19   4.767840 -0.312160 -0.000573  0.005301 1.67901E-06
 ca  20   5.978399 -0.311601 -0.000014  0.005859 2.79488E-05
 sc  21   2.738414 -0.311586  0.000000  0.005874 1.80409E-08
 ti  22   4.598415 -0.311585  0.000001  0.005875 1.39158E-06
  v  23   3.647326 -0.312674 -0.001087  0.004786 1.65752E-07
 cr  24   5.309124 -0.330876 -0.019290 -0.013416 7.76516E-06
 mn  25   5.168420 -0.311580  0.000006  0.005880 5.93403E-06
 fe  26   7.228414 -0.311586  0.000000  0.005874 6.92556E-04
 co  27   4.558412 -0.311588 -0.000001  0.005872 1.56253E-06
 ni  28   5.888417 -0.311583  0.000004  0.005877 3.32706E-05
 cu  29   3.938414 -0.311586  0.000000  0.005874 4.04166E-07
 zn  30   4.318419 -0.311581  0.000005  0.005879 9.97961E-07
 ga  31   2.768414 -0.311585  0.000001  0.005875 2.99811E-08
 ge  32   3.234039 -0.345961 -0.034374 -0.028501 9.12583E-08
 as  33   1.988411 -0.311589 -0.000003  0.005871 5.34660E-09
 se  34   2.984488 -0.355512 -0.043926 -0.038052 5.58408E-08
 br  35   2.228422 -0.311578  0.000009  0.005882 9.90942E-09
 kr  36   2.936842 -0.313158 -0.001572  0.004302 5.31046E-08
 rb  37   2.048426 -0.311574  0.000012  0.005886 7.00304E-09
 sr  38   2.565982 -0.314018 -0.002432  0.003442 2.36397E-08
  y  39   1.858433 -0.311567  0.000019  0.005893 4.70350E-09
 zr  40   2.218415 -0.311585  0.000002  0.005875 1.10556E-08
 nb  41   1.098424 -0.311576  0.000010  0.005884 8.54131E-10
 mo  42   1.507231 -0.432769 -0.121183 -0.115309 2.26094E-09
 tc  43   0.000000 -9.000000  0.000000  0.000000 0.00000E+00
 ru  44   1.317467 -0.442533 -0.130947 -0.125073 1.53867E-09
 rh  45   0.748415 -0.311585  0.000001  0.005875 4.22584E-10
 pd  46   1.279230 -0.370770 -0.059183 -0.053310 1.48358E-09
 ag  47   0.888413 -0.311587  0.000000  0.005873 6.11453E-10
 cd  48   1.358692 -0.351308 -0.039721 -0.033848 1.88174E-09
 in  49   0.429373 -0.330627 -0.019041 -0.013167 2.26173E-10
