                               1                                2                                3                                4                                5                                6                                7                                8 
                  version_number                 initial_don_mass                 initial_acc_mass              initial_period_days                         compiler                            build                 MESA_SDK_version                             date 
                      "r23.05.1"          1.9833109313383193E+000          1.4024474742714019E+000          3.7984253011700966E+003                       "gfortran"                         "10.2.0"            "x86_64-linux-21.4.1"                       "20260426" 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11                               12                               13                               14                               15                               16                               17                               18                               19                               20                               21                               22                               23                               24                               25                               26                               27                               28                               29                               30                               31                               32                               33                               34                               35                               36                               37                               38                               39 
                    model_number                              age                      period_days                binary_separation                          v_orb_1                          v_orb_2                             rl_1                             rl_2           rl_relative_overflow_1           rl_relative_overflow_2                      star_1_mass                      star_2_mass                lg_mtransfer_rate                   lg_mstar_dot_1                   lg_mstar_dot_2                 lg_system_mdot_1                 lg_system_mdot_2                   lg_wind_mdot_1                   lg_wind_mdot_2              fixed_xfer_fraction                eff_xfer_fraction                            J_orb                             Jdot                          jdot_mb                          jdot_gr                          jdot_ml                          jdot_ls                jdot_missing_wind                       extra_jdot                      donor_index                 point_mass_index                       Omega_star                        Omega_orb                   beta_accretion                    eta_accretion                           f_conv                vwind_over_vorbit         angular_momentum_j_orbit               wind_mass_transfer 
                              10          8.0852879728544713E+002          3.7992930626199000E+003          1.5385972575801420E+003          8.4867423967088538E+000          1.2001763478488604E+001          6.2966307730186202E+002          5.3750045632556487E+002         -6.1806316977488507E-001         -1.0000000000000000E+000          1.9833103384393098E+000          1.4024475624130142E+000         -5.5678730267552965E+001         -9.0623351033014004E+000         -9.8901671948141985E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.1322274858704855E+000         -9.8999999999999986E+001          8.0000000000000004E-001          1.4865102511156084E-001          3.5824865076946032E+053          1.2746771195053346E+039          0.0000000000000000E+000         -1.5877002288909684E+025         -4.1692902622371253E+036          1.2788464097675875E+039          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          4.3156215890834991E-008          1.9140943056465100E-008          1.4865103030721741E-001          4.0910454964184800E-001          1.0000000000000000E+000          7.3211125817811806E-001          3.5824865076946032E+053         -8.1139952375280330E+015 
                              20          1.5624343905316089E+003          3.8003130017172784E+003          1.5388725062377596E+003          8.4859849280431039E+000          1.2000686507016823E+001          6.2977565601908952E+002          5.3759667513222996E+002         -6.0623851962705333E-001         -1.0000000000000000E+000          1.9833095496555324E+000          1.4024476796539997E+000         -5.1800867343384652E+001         -8.9160909947156348E+000         -9.7440048249139561E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -8.9859691067601926E+000         -9.8999999999999986E+001          8.0000000000000004E-001          1.4862305009335600E-001          3.5828061692466338E+053          1.3974203942531182E+039          0.0000000000000000E+000         -1.5867014900584816E+025         -5.8386777133536616E+036          1.4032590719664878E+039          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          3.9902085689647429E-008          1.9135805954290841E-008          1.4862305646629365E-001          4.0906219997248539E-001          1.0000000000000000E+000          7.3217706920286674E-001          3.5828061692466338E+053         -1.1360491428723122E+016 
                              30          2.1810511829619791E+003          3.8012139296951109E+003          1.5391155940155836E+003          8.4853164855087240E+000          1.1999734798499116E+001          6.2987506582927233E+002          5.3768166559216775E+002         -5.9694984245645466E-001         -1.0000000000000000E+000          1.9833086738832826E+000          1.4024478098015274E+000         -4.8968864077865454E+001         -8.7968996532989596E+000         -9.6248865659102911E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -8.8667650087639807E+000         -9.8999999999999986E+001          8.0000000000000004E-001          1.4859804213738176E-001          3.5830882816709253E+053          1.4815751105224994E+039          0.0000000000000000E+000         -1.5858083721838855E+025         -7.6826889344922879E+036          1.4892577994570075E+039          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          3.7475213265379348E-008          1.9131270565522554E-008          1.4859804880626346E-001          4.0902435014515187E-001          1.0000000000000000E+000          7.3223595950003573E-001          3.5830882816709253E+053         -1.4945669605958670E+016 
                              40          2.6464875303129643E+003          3.8019235835927702E+003          1.5393070401354075E+003          8.4847904431527486E+000          1.1998984772515728E+001          6.2995334496633507E+002          5.3774861207821698E+002         -5.9014480019334703E-001         -1.0000000000000000E+000          1.9833078394270867E+000          1.4024479337907096E+000         -4.6999982454145993E+001         -8.7066580716575466E+000         -9.5347032922676256E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -8.7765132512341300E+000         -9.8999999999999986E+001          8.0000000000000004E-001          1.4857809283293333E-001          3.5833103048332097E+053          1.5332962577033962E+039          0.0000000000000000E+000         -1.5850956014147054E+025         -9.4571603159696797E+036          1.5427534180193816E+039          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          3.5775896868425084E-008          1.9127699588772103E-008          1.4857809865674557E-001          4.0899416256914667E-001          1.0000000000000000E+000          7.3228298428923866E-001          3.5833103048332097E+053         -1.8394951665058800E+016 
                              50          2.9642162030200066E+003          3.8024206646909938E+003          1.5394411208269689E+003          8.4844222625707211E+000          1.1998459156927797E+001          6.3000816078936236E+002          5.3779550571625168E+002         -5.8561849043265135E-001         -1.0000000000000000E+000          1.9833071641532598E+000          1.4024480341162846E+000         -4.5751619312920688E+001         -8.6459880918472258E+000         -9.4740742199769343E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -8.7158361332176977E+000         -9.8999999999999986E+001          8.0000000000000004E-001          1.4856409846906105E-001          3.5834657033170427E+053          1.5617658933431977E+039          0.0000000000000000E+000         -1.5845953600213809E+025         -1.0875140922473402E+037          1.5726410342656871E+039          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          3.4691516112944123E-008          1.9125199071665629E-008          1.4856410325052941E-001          4.0897299051910085E-001          1.0000000000000000E+000          7.3231600140081432E-001          3.5834657033170427E+053         -2.1150845033545484E+016 
                              60          3.2402918549636879E+003          3.8028601458395074E+003          1.5395596510568316E+003          8.4840969571327154E+000          1.1997994248679522E+001          6.3005661349674506E+002          5.3783696609537537E+002         -5.8177730792248106E-001         -1.0000000000000000E+000          1.9833064989741673E+000          1.4024481329335672E+000         -4.4756739201935453E+001         -8.5956254378888559E+000         -9.4237465829637550E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -8.6654673695632596E+000         -9.8999999999999986E+001          8.0000000000000004E-001          1.4855212030358145E-001          3.5836030065814566E+053          1.5869304464912480E+039          0.0000000000000000E+000         -1.5841669857506130E+025         -1.2212402821861641E+037          1.5991428493131256E+039          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          3.3852260949871437E-008          1.9122988849850673E-008          1.4855212552906638E-001          4.0895487587364354E-001          1.0000000000000000E+000          7.3234428470512591E-001          3.5836030065814566E+053         -2.3749548641960956E+016 
                              70          3.5088641662416730E+003          3.8032943569093482E+003          1.5396767464808870E+003          8.4837757626598442E+000          1.1997534705958582E+001          6.3010447392784874E+002          5.3787793007457014E+002         -5.7799045628958634E-001         -1.0000000000000000E+000          1.9833057725200771E+000          1.4024482408450614E+000         -4.3806168168344719E+001         -8.5455166531781934E+000         -9.3736723862970077E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -8.6153525505584412E+000         -9.8999999999999986E+001          8.0000000000000004E-001          1.4854028979945397E-001          3.5837385747985624E+053          1.6081516469308448E+039          0.0000000000000000E+000         -1.5837436989694198E+025         -1.3706085696254105E+037          1.6218577326271146E+039          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          3.3052250346415548E-008          1.9120805633757506E-008          1.4854029550261530E-001          4.0893698861332356E-001          1.0000000000000000E+000          7.3237224040609039E-001          3.5837385747985624E+053         -2.6651984804080400E+016 
                              80          3.7707471720832750E+003          3.8037229486130773E+003          1.5397923123413207E+003          8.4834589487847829E+000          1.1997080872965235E+001          6.3015170288158777E+002          5.3791836495210953E+002         -5.7436726369052682E-001         -1.0000000000000000E+000          1.9833049797139872E+000          1.4024483586035423E+000         -4.2920053111239469E+001         -8.4971188872250423E+000         -9.3253087698748356E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -8.5669488273686163E+000         -9.8999999999999986E+001          8.0000000000000004E-001          1.4852861020873673E-001          3.5838722929170188E+053          1.6254504108204088E+039          0.0000000000000000E+000         -1.5833255886404582E+025         -1.5321973586817679E+037          1.6407723844072423E+039          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          3.2304122986422875E-008          1.9118651160686268E-008          1.4852861636669942E-001          4.0891933390154755E-001          1.0000000000000000E+000          7.3239986227804010E-001          3.5838722929170188E+053         -2.9791555079520792E+016 
                              90          4.0254418851350924E+003          3.8041437525163860E+003          1.5399057635750726E+003          8.4831481263251742E+000          1.1996635024947391E+001          6.3019806089162637E+002          5.3795806637013789E+002         -5.7097084322442693E-001         -1.0000000000000000E+000          1.9833041201755683E+000          1.4024484862641016E+000         -4.2107393493051482E+001         -8.4513242929579508E+000         -9.2795476541761950E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -8.5211483934453494E+000         -9.8999999999999986E+001          8.0000000000000004E-001          1.4851716098753628E-001          3.5840034799142971E+053          1.6366633276490406E+039          0.0000000000000000E+000         -1.5829154753226848E+025         -1.7026004518135490E+037          1.6536893321671918E+039          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          3.1614106073386652E-008          1.9116536308157600E-008          1.4851716767527987E-001          4.0890203236072020E-001          1.0000000000000000E+000          7.3242696360913706E-001          3.5840034799142971E+053         -3.3102004173654244E+016 
                             100          4.2726779758716957E+003          3.8045549756557880E+003          1.5400166166265633E+003          8.4828446243011459E+000          1.1996199044417377E+001          6.3024335009866593E+002          5.3799686536945376E+002         -5.6771828127113377E-001         -1.0000000000000000E+000          1.9833031943144090E+000          1.4024486237645932E+000         -4.1347954320830759E+001         -8.4070836687574566E+000         -9.2353397359328415E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -8.4769020648655236E+000         -9.8999999999999986E+001          8.0000000000000004E-001          1.4850597684127556E-001          3.5841315737573965E+053          1.6448545622895812E+039          0.0000000000000000E+000         -1.5825145848107853E+025         -1.8851969965725947E+037          1.6637065322553229E+039          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          3.0968004109689487E-008          1.9114470058063850E-008          1.4850598406054705E-001          4.0888513647625807E-001          1.0000000000000000E+000          7.3245346285854196E-001          3.5841315737573965E+053         -3.6649006608241520E+016 
                             110          4.5136568418451607E+003          3.8049575792035598E+003          1.5401251306566589E+003          8.4825477340733055E+000          1.1995771901756758E+001          6.3028767625015428E+002          5.3803485278406140E+002         -5.6465536267975636E-001         -1.0000000000000000E+000          1.9833021983692960E+000          1.4024487716623155E+000         -4.0648703325786364E+001         -8.3651594011429715E+000         -9.1934474754145885E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -8.4349722152513227E+000         -9.8999999999999986E+001          8.0000000000000004E-001          1.4849503249328275E-001          3.5842568726574503E+053          1.6491009329856915E+039          0.0000000000000000E+000         -1.5821219983017211E+025         -2.0762723253247464E+037          1.6698636562389547E+039          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          3.0371907903450419E-008          1.9112447551032178E-008          1.4849504023343010E-001          4.0886860815852016E-001          1.0000000000000000E+000          7.3247942024819312E-001          3.5842568726574503E+053         -4.0360307634705512E+016 
