                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r23.05.1"                               "gfortran"                                 "10.2.0"                    "x86_64-linux-21.4.1"                                 "CRMATH"                               "20260410"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83                                       84                                       85                                       86                                       87                                       88                                       89                                       90                                       91                                       92                                       93                                       94                                       95                                       96                                       97                                       98                                       99                                      100                                      101                                      102                                      103                                      104                                      105                                      106                                      107                                      108                                      109                                      110                                      111                                      112                                      113                                      114                                      115                                      116                                      117                                      118                                      119                                      120                                      121                                      122                                      123                                      124                                      125                                      126                                      127 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                               mix_type_1                               mix_qtop_1                               mix_type_2                               mix_qtop_2                               mix_type_3                               mix_qtop_3                               mix_type_4                               mix_qtop_4                               mix_type_5                               mix_qtop_5                               mix_type_6                               mix_qtop_6                               mix_type_7                               mix_qtop_7                               mix_type_8                               mix_qtop_8                               mix_type_9                               mix_qtop_9                              mix_type_10                              mix_qtop_10                          mix_relr_type_1                           mix_relr_top_1                          mix_relr_type_2                           mix_relr_top_2                          mix_relr_type_3                           mix_relr_top_3                          mix_relr_type_4                           mix_relr_top_4                          mix_relr_type_5                           mix_relr_top_5                          mix_relr_type_6                           mix_relr_top_6                          mix_relr_type_7                           mix_relr_top_7                          mix_relr_type_8                           mix_relr_top_8                          mix_relr_type_9                           mix_relr_top_9                         mix_relr_type_10                          mix_relr_top_10                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                           he_core_radius                              he_core_lgT                            he_core_lgRho                             co_core_mass                           co_core_radius                              co_core_lgT                            co_core_lgRho                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                            envelope_mass                   envelope_fraction_left                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                        center_degeneracy                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                               center_n14                              surface_c12                              surface_o16                              surface_n14                            total_mass_h1                           total_mass_he4                                rel_E_err                                tot_E_err                              num_retries                                num_iters                    num_solver_iterations                             elapsed_time                                    I_eff                                      rg2                                   t_conv                                   R_conv                                   M_conv                            alpha_mlt_max                        alpha_mlt_surface                                 min_beta                               varcontrol                             last_saved_R                                 min_kapR                                 max_kapR                                    min_T                                    max_T                     quasi_adiabatic_Mdot 
                                       1                                     1065                  1.0000000000000000E+001                  1.0000000000000000E+000                  2.0000000000000000E+000                  3.3599535906024649E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999465066391E-001                  9.9999998476299801E-001                  9.9999999999650013E-001                  9.9999999958697028E-001                  9.9999999525920280E-001                  9.9999998308471949E-001                  1.0000000000000000E+000                  9.9999999953888030E-001                                        0                  9.9999998308471949E-001                                        2                  9.9999998476299801E-001                                        1                  9.9999999465946610E-001                                        2                  9.9999999535592743E-001                                        0                  9.9999999953888030E-001                                        2                  9.9999999958697028E-001                                        1                  9.9999999999795897E-001                                        2                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                        0                  9.8445928216106726E-001                                        2                  9.8508331614797584E-001                                        1                  9.9027228854223681E-001                                        2                  9.9083132484647973E-001                                        0                  9.9732993813322002E-001                                        2                  9.9753658730120043E-001                                        1                  9.9998797371544246E-001                                        2                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                  1.5282972563158681E+000                 -2.9761987750928760E+001                 -9.8999999999999986E+001                  1.5282972563158679E+000                  3.5567201967678636E-001                  1.4980853982000000E+000                 -2.9761987750928760E+001                  2.2762948837315816E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  6.0696379089038814E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.5077369369558002E-001                  9.0224914628815892E-002                  7.3855645253483351E+000                  2.2315204322442521E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.8492263063044199E+000                  1.0000000000000000E+000                  3.8878431830987781E+000                  1.5110839453696547E+000                  5.0250876735176875E-001                  3.7340800882635770E+000                  5.7883850039341783E-010                  1.8065405011503554E+001                  2.8357733303632444E+000                  7.4268161181451138E+000                 -1.0744002376331936E+000                  1.3379273879202958E+000                  5.0000049389919121E-001                  4.0416414581456035E+000                  9.8779838250492751E-007                  9.8631467761708447E-001                  9.1810131824895824E-005                  3.0627109343247979E-004                  8.5105140375625853E-003                  2.4805638980559177E-003                  6.0165994388079085E-003                  7.2709734142299373E-004                  1.2227282666273918E+000                  7.4860191912890062E-001                  3.4969749567193263E-013                  2.6311964330625239E+036                                        0                                        2                                        2                  8.9470873000000006E-002                  5.0025856755780357E+054                  2.5691984499765348E-002                                        0                                        0                                        0                  1.9310000000000000E+000                  1.9310000000000000E+000                  9.6754667429358554E-001                  1.0000000000000000E-004                  3.1805978962351831E+000                  5.5875532072953839E-004                 -1.7976931348623157E+308                  7.7281894806178861E+003                  2.6718748876410794E+007                  2.9395685387185072E-004 
                                      10                                     1065                  1.2577892535548828E+002                  1.1907036916294427E+000                  2.0000000000000000E+000                  3.3599535906024649E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999465066391E-001                  9.9999998476257645E-001                  9.9999999999650013E-001                  9.9999999958695662E-001                  9.9999999525920280E-001                  9.9999998308469540E-001                  1.0000000000000000E+000                  9.9999999953887486E-001                                        0                  9.9999998308469540E-001                                        2                  9.9999998476257645E-001                                        1                  9.9999999465932865E-001                                        2                  9.9999999535589146E-001                                        0                  9.9999999953887486E-001                                        2                  9.9999999958695662E-001                                        1                  9.9999999999795852E-001                                        2                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                        0                  9.8445936290877267E-001                                        2                  9.8508324513075007E-001                                        1                  9.9027226008986047E-001                                        2                  9.9083137198572802E-001                                        0                  9.9732998085278723E-001                                        2                  9.9753658951160140E-001                                        1                  9.9998797152381402E-001                                        2                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                  1.5282969380814782E+000                 -2.9762037034060707E+001                 -1.3370258545823472E+001                  1.5282969380814786E+000                  3.5566521194667455E-001                  1.4980855474790424E+000                 -2.9762037034060707E+001                  2.2763020620182336E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  6.0696174257312738E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.5077369369558002E-001                  9.0224495033432051E-002                  7.3855647431107903E+000                  2.2315232447921449E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.8492263063044199E+000                  1.0000000000000000E+000                  3.8878420061747354E+000                  1.5110857587264679E+000                  5.0251202787825988E-001                  3.7340735672105945E+000                  5.7838539337573808E-010                  1.8065416961690932E+001                  2.8357870842102120E+000                  7.4268138749973103E+000                 -1.0743565537955266E+000                  1.3379273886055254E+000                  5.0000049374779243E-001                  4.0416414619254981E+000                  9.8749558503261463E-007                  9.8631467790267269E-001                  9.1810028361019618E-005                  3.0627109315399591E-004                  8.5105141585141170E-003                  2.4805638980559177E-003                  6.0165994388079085E-003                  7.2709734142299373E-004                  1.2227282275245670E+000                  7.4860195847223021E-001                  3.4693802576620922E-013                  2.6104272456283846E+036                                        0                                        2                                        2                  1.0775078140000001E+000                  5.0026336812433122E+054                  2.5691863610971914E-002                  1.1178987986060156E+003                  1.7410144268616347E-002                  1.9793428229775142E-008                  1.9310000000000000E+000                  1.9310000000000000E+000                  9.6754661671755382E-001                  1.0000000000000000E-004                  3.1805978962351831E+000                  5.5875410150623230E-004                 -1.7976931348623157E+308                  7.7281683432819573E+003                  2.6718610873395208E+007                  2.9396831937175542E-004 
                                      20                                     1065                  3.3065954102888412E+002                  1.4025966823288236E+000                  2.0000000000000000E+000                  3.3599535906024649E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999465066391E-001                  9.9999998476183027E-001                  9.9999999999650013E-001                  9.9999999958693220E-001                  9.9999999525920280E-001                  9.9999998308465299E-001                  1.0000000000000000E+000                  9.9999999953886531E-001                                        0                  9.9999998308465299E-001                                        2                  9.9999998476183027E-001                                        1                  9.9999999465908518E-001                                        2                  9.9999999535582740E-001                                        0                  9.9999999953886531E-001                                        2                  9.9999999958693220E-001                                        1                  9.9999999999795774E-001                                        2                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                        0                  9.8445950623221756E-001                                        2                  9.8508311966335005E-001                                        1                  9.9027220993684473E-001                                        2                  9.9083145531957262E-001                                        0                  9.9733005688185705E-001                                        2                  9.9753659348338675E-001                                        1                  9.9998796763238862E-001                                        2                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                  1.5282963751381551E+000                 -2.9762124222349357E+001                 -1.3449439791871097E+001                  1.5282963751381555E+000                  3.5565316742211506E-001                  1.4980858116684621E+000                 -2.9762124222349357E+001                  2.2763147649696457E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  6.0695811848266127E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.5077369369558002E-001                  9.0223752647958608E-002                  7.3855651284320123E+000                  2.2315282210664518E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.8492263063044199E+000                  1.0000000000000000E+000                  3.8878399190522139E+000                  1.5110889442871596E+000                  5.0251779490364934E-001                  3.7340620331598156E+000                  5.7813538112060859E-010                  1.8065438105374238E+001                  2.8358114189312706E+000                  7.4268099063227533E+000                 -1.0742792639643692E+000                  1.3379273898174933E+000                  5.0000049348001308E-001                  4.0416414686110187E+000                  9.8696002615215770E-007                  9.8631467840779141E-001                  9.1809845350390818E-005                  3.0627109266145750E-004                  8.5105143724574905E-003                  2.4805638980559177E-003                  6.0165994388079085E-003                  7.2709734142299373E-004                  1.2227281583288119E+000                  7.4860202809348564E-001                  3.5832590137623730E-013                  2.6961001437942092E+036                                        0                                        2                                        2                  2.1738652279999999E+000                  5.0027186175088088E+054                  2.5691649947307549E-002                  1.1179210942457444E+003                  1.7410304876927876E-002                  1.9794385686111585E-008                  1.9310000000000000E+000                  1.9310000000000000E+000                  9.6754651576628325E-001                  1.0000000000000000E-004                  3.1805978962351831E+000                  5.5875196055630411E-004                 -1.7976931348623157E+308                  7.7281308594674892E+003                  2.6718366714210466E+007                  2.9398863535933553E-004 
                                      30                                     1065                  6.6438847503013278E+002                  1.6144896730282043E+000                  2.0000000000000000E+000                  3.3599535906024649E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999465066391E-001                  9.9999998476061513E-001                  9.9999999999650013E-001                  9.9999999958689256E-001                  9.9999999525920280E-001                  9.9999998308458504E-001                  1.0000000000000000E+000                  9.9999999953884988E-001                                        0                  9.9999998308458504E-001                                        2                  9.9999998476061513E-001                                        1                  9.9999999465868872E-001                                        2                  9.9999999535572193E-001                                        0                  9.9999999953884988E-001                                        2                  9.9999999958689256E-001                                        1                  9.9999999999795630E-001                                        2                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                        0                  9.8445974022778471E-001                                        2                  9.8508291554424876E-001                                        1                  9.9027212841708090E-001                                        2                  9.9083159033621682E-001                                        0                  9.9733018161023090E-001                                        2                  9.9753660001056377E-001                                        1                  9.9998796128675005E-001                                        2                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                  1.5282954586609978E+000                 -2.9762266181772624E+001                 -9.8999999999999986E+001                  1.5282954586609978E+000                  3.5563355451935524E-001                  1.4980862420310375E+000                 -2.9762266181772624E+001                  2.2763354576200654E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  6.0695221679909143E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.5077369369558002E-001                  9.0222543720034992E-002                  7.3855657560024888E+000                  2.2315363247869344E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.8492263063044199E+000                  1.0000000000000000E+000                  3.8878365168953883E+000                  1.5110941142939056E+000                  5.0252718422067377E-001                  3.7340432545257665E+000                  5.7784262446473996E-010                  1.8065472537487693E+001                  2.8358510470230218E+000                  7.4268034438607256E+000                 -1.0741534009390894E+000                  1.3379273917900145E+000                  5.0000049304419336E-001                  4.0416414794919460E+000                  9.8608838681929006E-007                  9.8631467922988203E-001                  9.1809547457163967E-005                  3.0627109185988211E-004                  8.5105147207009697E-003                  2.4805638980559177E-003                  6.0165994388079085E-003                  7.2709734142299373E-004                  1.2227280456162388E+000                  7.4860214149890303E-001                  3.5108248972111891E-013                  2.6415810267795936E+036                                        0                                        2                                        2                  3.2660031130000000E+000                  5.0028569327718345E+054                  2.5691302214294998E-002                  1.1179574119838405E+003                  1.7410566226734963E-002                  1.9795945105371970E-008                  1.9310000000000000E+000                  1.9310000000000000E+000                  9.6754635212478324E-001                  1.0000000000000000E-004                  3.1805978962351831E+000                  5.5874848744731805E-004                 -1.7976931348623157E+308                  7.7280697589244528E+003                  2.6717969138020013E+007                  2.9402174069503444E-004 
                                      40                                     1065                  1.2079977424249305E+003                  1.8263826637275853E+000                  2.0000000000000000E+000                  3.3599535906024649E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999465066391E-001                  9.9999998475863661E-001                  9.9999999999650013E-001                  9.9999999958682795E-001                  9.9999999525920280E-001                  9.9999998308447702E-001                  1.0000000000000000E+000                  9.9999999953882512E-001                                        0                  9.9999998308447702E-001                                        2                  9.9999998475863661E-001                                        1                  9.9999999465804301E-001                                        2                  9.9999999535554740E-001                                        0                  9.9999999953882512E-001                                        2                  9.9999999958682795E-001                                        1                  9.9999999999795419E-001                                        2                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                        0                  9.8446012241458691E-001                                        2                  9.8508258349656685E-001                                        1                  9.9027199584902970E-001                                        2                  9.9083180801963067E-001                                        0                  9.9733038691282438E-001                                        2                  9.9753661069719668E-001                                        1                  9.9998795094554327E-001                                        2                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                  1.5282939670532667E+000                 -2.9762497256857650E+001                 -9.8999999999999986E+001                  1.5282939670532665E+000                  3.5560162404719770E-001                  1.4980869430234749E+000                 -2.9762497256857650E+001                  2.2763691666321492E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  6.0694260774802640E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.5077369369558002E-001                  9.0220575405370665E-002                  7.3855667780447183E+000                  2.2315495192974937E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.8492263063044199E+000                  1.0000000000000000E+000                  3.8878309742100452E+000                  1.5111025121658599E+000                  5.0254246852733664E-001                  3.7340126859124410E+000                  5.7743275307204993E-010                  1.8065528600644811E+001                  2.8359155688831312E+000                  7.4267929227321412E+000                 -1.0739484734041294E+000                  1.3379273949986752E+000                  5.0000049233525568E-001                  4.0416414971917618E+000                  9.8467051159314048E-007                  9.8631468056714089E-001                  9.1809062781840519E-005                  3.0627109055610184E-004                  8.5105152872963254E-003                  2.4805638980559177E-003                  6.0165994388079085E-003                  7.2709734142299373E-004                  1.2227278620193920E+000                  7.4860232622365996E-001                  3.2365517586776482E-013                  2.4351872266528342E+036                                        0                                        2                                        2                  4.3595223409999999E+000                  5.0030821368338106E+054                  2.5690736341420509E-002                  1.1180165487821864E+003                  1.7410991518761035E-002                  1.9798484185429291E-008                  1.9310000000000000E+000                  1.9310000000000000E+000                  9.6754608664071684E-001                  1.0000000000000000E-004                  3.1805978962351831E+000                  5.5874284950401725E-004                 -1.7976931348623157E+308                  7.7279702173603928E+003                  2.6717321881848022E+007                  2.9407566538931529E-004 
                                      50                                     1065                  2.0934799571507378E+003                  2.0382756544269660E+000                  2.0000000000000000E+000                  3.3599535906024649E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999465066391E-001                  9.9999998475541674E-001                  9.9999999999650013E-001                  9.9999999958672270E-001                  9.9999999525920280E-001                  9.9999998308430782E-001                  1.0000000000000000E+000                  9.9999999953878627E-001                                        0                  9.9999998308430782E-001                                        2                  9.9999998475541674E-001                                        1                  9.9999999465699196E-001                                        2                  9.9999999535528783E-001                                        0                  9.9999999953878627E-001                                        2                  9.9999999958672270E-001                                        1                  9.9999999999795053E-001                                        2                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                        0                  9.8446074728025634E-001                                        2                  9.8508204357293583E-001                                        1                  9.9027178026486384E-001                                        2                  9.9083218313125510E-001                                        0                  9.9733072667574851E-001                                        2                  9.9753662816203981E-001                                        1                  9.9998793409958098E-001                                        2                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                  1.5282915404694424E+000                 -2.9762873225109125E+001                 -9.8999999999999986E+001                  1.5282915404694419E+000                  3.5554965752093837E-001                  1.4980880845939359E+000                 -2.9762873225109125E+001                  2.2764240841348430E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  6.0692696666511239E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.5077369369558002E-001                  9.0217371618368666E-002                  7.3855684423133967E+000                  2.2315709969087378E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.8492263063044199E+000                  1.0000000000000000E+000                  3.8878219482921170E+000                  1.5111161536072368E+000                  5.0256734108388068E-001                  3.7339629407993531E+000                  5.7680999868977051E-010                  1.8065619860309358E+001                  2.8360205936387928E+000                  7.4267757996070856E+000                 -1.0736149067949745E+000                  1.3379274002136814E+000                  5.0000049118303047E-001                  4.0416415259591751E+000                  9.8236606102045514E-007                  9.8631468274052336E-001                  9.1808274783555975E-005                  3.0627108843741548E-004                  8.5105162084815073E-003                  2.4805638980559177E-003                  6.0165994388079085E-003                  7.2709734142299373E-004                  1.2227275629596157E+000                  7.4860262711891690E-001                  2.7121290361798422E-013                  2.0405726654041873E+036                                        0                                        2                                        2                  5.4487674380000000E+000                  5.0034487152391817E+054                  2.5689815786796927E-002                  1.1181127779303652E+003                  1.7411683424750961E-002                  1.9802615547348523E-008                  1.9310000000000000E+000                  1.9310000000000000E+000                  9.6754561853539700E-001                  1.0000000000000000E-004                  3.1805978962351831E+000                  5.5873370029070602E-004                 -1.7976931348623157E+308                  7.7278081237032611E+003                  2.6716268506674703E+007                  2.9416347167598859E-004 
                                      60                                     1065                  3.5358371788245940E+003                  2.2501686451263470E+000                  2.0000000000000000E+000                  3.3599535906024649E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999465066391E-001                  9.9999998475017959E-001                  9.9999999999650013E-001                  9.9999999958655139E-001                  9.9999999525920280E-001                  9.9999998308404947E-001                  1.0000000000000000E+000                  9.9999999953872631E-001                                        0                  9.9999998308404947E-001                                        2                  9.9999998475017959E-001                                        1                  9.9999999465528155E-001                                        2                  9.9999999535505668E-001                                        0                  9.9999999953872631E-001                                        2                  9.9999999958655139E-001                                        1                  9.9999999999794476E-001                                        2                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                        0                  9.8446177063262352E-001                                        2                  9.8508116638078336E-001                                        1                  9.9027142982065541E-001                                        2                  9.9083295384572667E-001                                        0                  9.9733129350963579E-001                                        2                  9.9753665668250691E-001                                        1                  9.9998790666702619E-001                                        2                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                  1.5282875954204558E+000                 -2.9763484502987147E+001                 -1.3546349804879153E+001                  1.5282875954204562E+000                  3.5546512856629536E-001                  1.4980899427336485E+000                 -2.9763484502987147E+001                  2.2765135642415993E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  6.0690151828059219E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.5077369369558002E-001                  9.0212159318831434E-002                  7.3855711518513134E+000                  2.2316059422812820E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.8492263063044199E+000                  1.0000000000000000E+000                  3.8878072573797358E+000                  1.5111382975880638E+000                  5.0260779489905716E-001                  3.7338820331689999E+000                  5.7582890994056508E-010                  1.8065768350269945E+001                  2.8361914704002742E+000                  7.4267479467401936E+000                 -1.0730721944120902E+000                  1.3379274086778015E+000                  5.0000048931294372E-001                  4.0416415726497883E+000                  9.7862588757900444E-007                  9.8631468626785423E-001                  9.1806995150566493E-005                  3.0627108499960549E-004                  8.5105177043947461E-003                  2.4805638980559177E-003                  6.0165994388079085E-003                  7.2709734142299373E-004                  1.2227270758231363E+000                  7.4860311724053918E-001                  1.3819854629431113E-013                  1.0397574459215992E+036                                        0                                        2                                        2                  6.5414873919999996E+000                  5.0040451593859705E+054                  2.5688319179430822E-002                  1.1182692878762416E+003                  1.7412808474719602E-002                  1.9809334839138160E-008                  1.9310000000000000E+000                  1.9310000000000000E+000                  9.6754481335468212E-001                  1.0000000000000000E-004                  3.1805978962351831E+000                  5.5871887193967111E-004                 -1.7976931348623157E+308                  7.7275443033003412E+003                  2.6714555151243370E+007                  2.9430638809454357E-004 
