q,R,e_init,age,a,e,spin1,type1,m1,m2,amloss
0.8,200.0,0.65,"[1.09365005e+07 1.11810220e+07 1.14377696e+07 ... 1.24560967e+09
 1.24560977e+09 1.24560982e+09]","[502.03340924 502.03340924 502.03340924 ... 242.61665871 242.2505247
 242.10035063]","[6.50000000e-01 6.50000000e-01 6.50000000e-01 ... 9.80677724e-08
 9.80677724e-08 9.80677724e-08]","[1.37401871e-04 1.37416591e-04 1.37430803e-04 ... 3.01579188e-07
 3.08245353e-07 3.10975727e-07]",[1 1 1 ... 5 5 5],[2.         2.         2.         ... 1.99994485 1.99994485 1.99994485],[1.6        1.6        1.6        ... 1.60000214 1.60000214 1.60000214],"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -3.45973538e-07
 -3.45982402e-07 -3.45987678e-07]"
0.8,209.18367346938777,0.65,"[1.09365005e+07 1.11810220e+07 1.14377696e+07 ... 1.24575140e+09
 1.24575140e+09 1.24575170e+09]","[525.08596375 525.08596375 525.08596375 ... 260.06521974 260.06521974
 260.06499175]","[6.50000000e-01 6.50000000e-01 6.50000000e-01 ... 9.87250275e-08
 9.87250275e-08 9.87250274e-08]","[1.37401871e-04 1.37416591e-04 1.37430803e-04 ... 2.83808056e-07
 2.83808056e-07 2.83643607e-07]",[1 1 1 ... 5 5 5],[2.         2.         2.         ... 1.99994335 1.99994335 1.99994335],[1.6        1.6        1.6        ... 1.60000216 1.60000216 1.60000216],"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -3.60583550e-07
 -3.60583550e-07 -3.60616674e-07]"
0.8,218.3673469387755,0.65,"[1.09365005e+07 1.11810220e+07 1.14377696e+07 ... 1.24581600e+09
 1.24581610e+09 1.24581617e+09]","[548.13851825 548.13851825 548.13851825 ... 274.80858848 273.70921413
 273.30011608]","[6.50000000e-01 6.50000000e-01 6.50000000e-01 ... 9.97278828e-08
 9.97278828e-08 9.97278828e-08]","[1.37401871e-04 1.37416591e-04 1.37430803e-04 ... 2.31891197e-07
 2.46659134e-07 2.52105401e-07]",[1 1 1 ... 5 5 5],[2.         2.         2.         ... 1.99994261 1.99994261 1.99994261],[1.6        1.6        1.6        ... 1.60000215 1.60000215 1.60000215],"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -3.67962878e-07
 -3.67975313e-07 -3.67982933e-07]"
0.8,227.55102040816325,0.65,"[1.09365005e+07 1.11810220e+07 1.14377696e+07 ... 1.24583898e+09
 1.24583898e+09 1.24583920e+09]","[571.19107276 571.19107276 571.19107276 ... 294.19800545 294.19800545
 294.18539999]","[6.50000000e-01 6.50000000e-01 6.50000000e-01 ... 9.93785129e-08
 9.93785129e-08 9.93785129e-08]","[1.37401871e-04 1.37416591e-04 1.37430803e-04 ... 2.35830313e-07
 2.35830313e-07 2.35837978e-07]",[1 1 1 ... 5 5 5],[2.         2.         2.         ... 1.99994229 1.99994229 1.99994229],[1.6        1.6        1.6        ... 1.60000208 1.60000208 1.60000208],"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -3.71623627e-07
 -3.71623627e-07 -3.71658869e-07]"
0.8,236.73469387755102,0.65,"[1.09365005e+07 1.11810220e+07 1.14377696e+07 ... 1.24585358e+09
 1.24585358e+09 1.24585358e+09]","[594.24362726 594.24362726 594.24362726 ... 324.21752578 324.21752578
 324.17858993]","[6.50000000e-01 6.50000000e-01 6.50000000e-01 ... 9.94870093e-08
 9.94870093e-08 9.94870093e-08]","[1.37401871e-04 1.37416591e-04 1.37430803e-04 ... 1.46417716e-07
 1.46417716e-07 1.46178815e-07]",[1 1 1 ... 5 5 5],[2.         2.         2.         ... 1.99994208 1.99994208 1.99994208],[1.6        1.6        1.6        ... 1.60000199 1.60000199 1.60000199],"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -3.74127588e-07
 -3.74127588e-07 -3.74127775e-07]"
0.8,245.9183673469388,0.65,"[1.09365005e+07 1.11810220e+07 1.14377696e+07 ... 1.24585360e+09
 1.24585360e+09 1.24585360e+09]","[617.29618177 617.29618177 617.29618177 ... 340.68915997 340.68915997
 340.68489494]","[6.50000000e-01 6.50000000e-01 6.50000000e-01 ... 9.97847684e-08
 9.97847684e-08 9.97847684e-08]","[1.37401871e-04 1.37416591e-04 1.37430803e-04 ... 1.29339336e-07
 1.29339336e-07 1.29327409e-07]",[1 1 1 ... 5 5 5],[2.         2.         2.         ... 1.99994208 1.99994208 1.99994208],[1.6        1.6        1.6        ... 1.60000188 1.60000188 1.60000188],"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -3.74436072e-07
 -3.74436072e-07 -3.74436093e-07]"
0.8,255.10204081632654,0.65,"[1.09365005e+07 1.11810220e+07 1.14377696e+07 ... 1.24585362e+09
 1.24585362e+09 1.24585362e+09]","[640.34873627 640.34873627 640.34873627 ... 353.98107583 353.98107583
 353.96325067]","[6.50000000e-01 6.50000000e-01 6.50000000e-01 ... 9.80073662e-08
 9.80073662e-08 9.80073662e-08]","[1.37401871e-04 1.37416591e-04 1.37430803e-04 ... 1.18041215e-07
 1.18041215e-07 1.18020315e-07]",[1 1 1 ... 5 5 5],[2.         2.         2.         ... 1.99994208 1.99994208 1.99994208],[1.6        1.6        1.6        ... 1.60000178 1.60000178 1.60000178],"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -3.74843966e-07
 -3.74843966e-07 -3.74844058e-07]"
0.8,264.2857142857143,0.65,"[1.09365005e+07 1.11810220e+07 1.14377696e+07 ... 1.24585364e+09
 1.24585364e+09 1.24585364e+09]","[663.40129078 663.40129078 663.40129078 ... 367.24071956 367.24071956
 367.16328354]","[6.50000000e-01 6.50000000e-01 6.50000000e-01 ... 9.98648579e-08
 9.98648579e-08 9.98648579e-08]","[1.37401871e-04 1.37416591e-04 1.37430803e-04 ... 1.08508829e-07
 1.08508829e-07 1.08501055e-07]",[1 1 1 ... 5 5 5],[2.         2.         2.         ... 1.99994208 1.99994208 1.99994208],[1.6        1.6        1.6        ... 1.60000169 1.60000169 1.60000169],"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -3.75424360e-07
 -3.75424360e-07 -3.75424793e-07]"
0.8,273.46938775510205,0.65,"[1.09365005e+07 1.11810220e+07 1.14377696e+07 ... 1.24585366e+09
 1.24585366e+09 1.24585366e+09]","[686.45384529 686.45384529 686.45384529 ... 380.28536709 380.28536709
 380.28043847]","[6.50000000e-01 6.50000000e-01 6.50000000e-01 ... 9.96629159e-08
 9.96629159e-08 9.96629159e-08]","[1.37401871e-04 1.37416591e-04 1.37430803e-04 ... 1.00562561e-07
 1.00562561e-07 1.00567065e-07]",[1 1 1 ... 5 5 5],[2.         2.         2.         ... 1.99994208 1.99994208 1.99994208],[1.6       1.6       1.6       ... 1.6000016 1.6000016 1.6000016],"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -3.76172022e-07
 -3.76172022e-07 -3.76172052e-07]"
0.8,282.6530612244898,0.65,"[1.09365005e+07 1.11810220e+07 1.14377696e+07 ... 1.24585368e+09
 1.24585368e+09 1.24585368e+09]","[709.50639979 709.50639979 709.50639979 ... 393.38923234 393.38923234
 393.27685593]","[6.50000000e-01 6.50000000e-01 6.50000000e-01 ... 9.84138773e-08
 9.84138773e-08 9.84138773e-08]","[1.37401871e-04 1.37416591e-04 1.37430803e-04 ... 9.39807388e-08
 9.39807388e-08 9.41481132e-08]",[1 1 1 ... 5 5 5],[2.         2.         2.         ... 1.99994208 1.99994208 1.99994208],[1.6        1.6        1.6        ... 1.60000152 1.60000152 1.60000152],"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -3.77075453e-07
 -3.77075453e-07 -3.77076220e-07]"
0.8,291.8367346938776,0.65,"[1.09365005e+07 1.11810220e+07 1.14377696e+07 ... 1.24585370e+09
 1.24585370e+09 1.24585371e+09]","[732.5589543  732.5589543  732.5589543  ... 406.1866128  406.1866128
 406.10341687]","[6.50000000e-01 6.50000000e-01 6.50000000e-01 ... 9.93511392e-08
 9.93511392e-08 9.93511392e-08]","[1.37401871e-04 1.37416591e-04 1.37430803e-04 ... 8.90781339e-08
 8.90781339e-08 8.92480213e-08]",[1 1 1 ... 5 5 5],[2.         2.         2.         ... 1.99994207 1.99994207 1.99994207],[1.6        1.6        1.6        ... 1.60000145 1.60000145 1.60000145],"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -3.78126444e-07
 -3.78126444e-07 -3.78127091e-07]"
0.8,301.0204081632653,0.65,"[1.09365005e+07 1.11810220e+07 1.14377696e+07 ... 1.24585374e+09
 1.24585374e+09 1.24585374e+09]","[755.6115088  755.6115088  755.6115088  ... 418.68988454 418.68988454
 418.65644465]","[6.50000000e-01 6.50000000e-01 6.50000000e-01 ... 9.96488081e-07
 9.96488081e-07 9.95902672e-07]","[1.37401871e-04 1.37416591e-04 1.37430803e-04 ... 8.60211088e-08
 8.60211088e-08 8.61042869e-08]",[1 1 1 ... 5 5 5],[2.         2.         2.         ... 1.99994207 1.99994207 1.99994207],[1.6        1.6        1.6        ... 1.60000138 1.60000138 1.60000138],"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -3.79314597e-07
 -3.79314597e-07 -3.79314903e-07]"
0.8,310.2040816326531,0.65,"[1.09365005e+07 1.11810220e+07 1.14377696e+07 ... 1.24585377e+09
 1.24585377e+09 1.24585378e+09]","[778.66406331 778.66406331 778.66406331 ... 430.91516121 430.91516121
 430.68935848]","[6.50000000e-01 6.50000000e-01 6.50000000e-01 ... 2.18394645e-05
 2.18394645e-05 2.17522438e-05]","[1.37401871e-04 1.37416591e-04 1.37430803e-04 ... 8.48911540e-08
 8.48911540e-08 8.55384978e-08]",[1 1 1 ... 5 5 5],[2.         2.         2.         ... 1.99994207 1.99994207 1.99994207],[1.6        1.6        1.6        ... 1.60000132 1.60000132 1.60000132],"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -3.80632599e-07
 -3.80632599e-07 -3.80635140e-07]"
