#
# Initial mass = 1.750, Z =  0.0028, Y =  0.250, M_mix = 6.00E-03
#
#Initial isotopic abundance ratios: 
#  c12/c13   n14/n15   o16/o17   o16/o18   mg24/mg25 mg24/m26 al26/al27 si28/si29 si28/si30 cl36/cl35 cl37/cl35  s33/s32  s34/s32   s36/s32   ar36/ar40 ar38/ar40  k40/k39  k41/k39  ca42/ca40 ca43/ca40 ca44/ca40 ca46/ca40 ca48/ca40 ti46/ti48 ti47/ti48 ti49/ti48 ti50/ti48 cr53/cr52 cr54/cr52 fe54/fe56 fe57/fe56 fe58/fe56 fe60/fe56 ni60/ni58 ni61/ni58 ni62/ni58
#
  8.940E+01 4.350E+02 2.632E+03 5.000E+02 7.899E+00 7.174E+00 0.000E+00 1.969E+01 2.987E+01 0.000E+00 3.196E-01 8.006E-03 4.519E-02 2.107E-04 3.439E+03 6.252E+02 1.578E-04 7.217E-02 6.674E-03 1.393E-03 2.152E-02 4.126E-05 1.929E-03 1.119E-01 1.009E-01 7.339E-02 7.027E-02 1.134E-01 2.823E-02 6.370E-02 2.309E-02 3.073E-03 0.000E+00 3.852E-01 1.674E-02 5.339E-02
#
# During TP-AGB
#
  1.907E+01 2.521E+03 1.669E+02 7.512E+02 7.901E+00 7.173E+00 4.374E-06 1.969E+01 2.987E+01 3.275E-17 3.196E-01 8.006E-03 4.519E-02 2.107E-04 3.434E+03 6.243E+02 7.642E-05 7.217E-02 6.674E-03 1.393E-03 2.152E-02 4.126E-05 1.929E-03 1.119E-01 1.009E-01 7.339E-02 7.027E-02 1.134E-01 2.823E-02 6.370E-02 2.309E-02 3.073E-03 4.487E-33 3.852E-01 1.674E-02 5.339E-02
  1.918E+01 2.512E+03 1.667E+02 7.505E+02 7.902E+00 7.172E+00 9.860E-06 1.969E+01 2.987E+01 6.580E-17 3.196E-01 8.006E-03 4.519E-02 2.107E-04 3.434E+03 6.243E+02 7.642E-05 7.217E-02 6.674E-03 1.393E-03 2.152E-02 4.126E-05 1.929E-03 1.119E-01 1.009E-01 7.339E-02 7.027E-02 1.134E-01 2.823E-02 6.370E-02 2.309E-02 3.073E-03 1.142E-32 3.852E-01 1.674E-02 5.339E-02
  1.918E+01 2.511E+03 1.667E+02 7.504E+02 7.902E+00 7.172E+00 8.739E-06 1.969E+01 2.987E+01 4.801E-17 3.196E-01 8.006E-03 4.519E-02 2.107E-04 3.434E+03 6.243E+02 7.641E-05 7.217E-02 6.674E-03 1.393E-03 2.152E-02 4.126E-05 1.929E-03 1.119E-01 1.009E-01 7.339E-02 7.027E-02 1.134E-01 2.823E-02 6.370E-02 2.309E-02 3.073E-03 1.123E-32 3.852E-01 1.674E-02 5.339E-02
  1.945E+01 2.465E+03 1.683E+02 7.465E+02 7.901E+00 7.172E+00 7.444E-06 1.969E+01 2.987E+01 3.321E-17 3.196E-01 8.006E-03 4.519E-02 2.107E-04 3.434E+03 6.243E+02 7.640E-05 7.217E-02 6.674E-03 1.393E-03 2.152E-02 4.126E-05 1.929E-03 1.119E-01 1.009E-01 7.339E-02 7.027E-02 1.134E-01 2.823E-02 6.370E-02 2.309E-02 3.073E-03 1.066E-32 3.852E-01 1.674E-02 5.339E-02
  1.975E+01 2.416E+03 1.702E+02 7.425E+02 7.901E+00 7.173E+00 6.678E-06 1.969E+01 2.987E+01 2.282E-17 3.196E-01 8.006E-03 4.519E-02 2.107E-04 3.434E+03 6.243E+02 7.640E-05 7.217E-02 6.674E-03 1.393E-03 2.152E-02 4.126E-05 1.929E-03 1.119E-01 1.009E-01 7.339E-02 7.027E-02 1.134E-01 2.823E-02 6.370E-02 2.309E-02 3.073E-03 1.011E-32 3.852E-01 1.674E-02 5.339E-02
  2.004E+01 2.371E+03 1.720E+02 7.386E+02 7.902E+00 7.173E+00 1.710E-05 1.969E+01 2.987E+01 1.573E-17 3.196E-01 8.006E-03 4.519E-02 2.107E-04 3.434E+03 6.243E+02 7.639E-05 7.217E-02 6.674E-03 1.393E-03 2.152E-02 4.126E-05 1.929E-03 1.119E-01 1.009E-01 7.339E-02 7.027E-02 1.134E-01 2.823E-02 6.370E-02 2.309E-02 3.073E-03 9.587E-33 3.852E-01 1.674E-02 5.339E-02
  2.033E+01 2.328E+03 1.739E+02 7.348E+02 7.902E+00 7.172E+00 7.109E-05 1.969E+01 2.987E+01 1.101E-17 3.196E-01 8.006E-03 4.519E-02 2.107E-04 3.434E+03 6.243E+02 7.638E-05 7.217E-02 6.674E-03 1.393E-03 2.152E-02 4.126E-05 1.929E-03 1.119E-01 1.009E-01 7.339E-02 7.027E-02 1.134E-01 2.823E-02 6.370E-02 2.309E-02 3.073E-03 9.108E-33 3.852E-01 1.674E-02 5.339E-02
