#
# Initial mass = 2.100, Z =  0.0070, Y =  0.260, M_mix = 1.00E-03
#
#Initial isotopic abundance ratios: 
#  c12/c13   n14/n15   o16/o17   o16/o18   mg24/mg25 mg24/m26 al26/al27 si28/si29 si28/si30 cl36/cl35 cl37/cl35  s33/s32  s34/s32   s36/s32   ar36/ar40 ar38/ar40  k40/k39  k41/k39  ca42/ca40 ca43/ca40 ca44/ca40 ca46/ca40 ca48/ca40 ti46/ti48 ti47/ti48 ti49/ti48 ti50/ti48 cr53/cr52 cr54/cr52 fe54/fe56 fe57/fe56 fe58/fe56 fe60/fe56 ni60/ni58 ni61/ni58 ni62/ni58
#
  8.940E+01 4.350E+02 2.632E+03 5.000E+02 7.899E+00 7.174E+00 0.000E+00 1.969E+01 2.987E+01 0.000E+00 3.196E-01 8.006E-03 4.519E-02 2.107E-04 3.439E+03 6.252E+02 1.578E-04 7.217E-02 6.674E-03 1.393E-03 2.152E-02 4.126E-05 1.929E-03 1.119E-01 1.009E-01 7.339E-02 7.027E-02 1.134E-01 2.823E-02 6.370E-02 2.309E-02 3.073E-03 0.000E+00 3.852E-01 1.674E-02 5.339E-02
#
# During TP-AGB
#
  1.985E+01 2.469E+03 1.419E+02 7.452E+02 7.902E+00 7.172E+00 2.715E-10 1.969E+01 2.987E+01 1.025E-23 3.196E-01 8.006E-03 4.519E-02 2.107E-04 3.435E+03 6.245E+02 9.245E-05 7.217E-02 6.674E-03 1.393E-03 2.152E-02 4.126E-05 1.929E-03 1.119E-01 1.009E-01 7.339E-02 7.027E-02 1.134E-01 2.823E-02 6.370E-02 2.309E-02 3.073E-03 0.000E+00 3.852E-01 1.674E-02 5.339E-02
  1.984E+01 2.470E+03 1.419E+02 7.454E+02 7.902E+00 7.172E+00 1.143E-09 1.969E+01 2.987E+01 3.991E-23 3.196E-01 8.006E-03 4.519E-02 2.107E-04 3.435E+03 6.245E+02 9.245E-05 7.217E-02 6.674E-03 1.393E-03 2.152E-02 4.126E-05 1.929E-03 1.119E-01 1.009E-01 7.339E-02 7.027E-02 1.134E-01 2.823E-02 6.370E-02 2.309E-02 3.073E-03 0.000E+00 3.852E-01 1.674E-02 5.339E-02
  1.984E+01 2.470E+03 1.418E+02 7.454E+02 7.902E+00 7.172E+00 1.543E-09 1.969E+01 2.987E+01 4.064E-23 3.196E-01 8.006E-03 4.519E-02 2.107E-04 3.435E+03 6.245E+02 9.244E-05 7.217E-02 6.674E-03 1.393E-03 2.152E-02 4.126E-05 1.929E-03 1.119E-01 1.009E-01 7.339E-02 7.027E-02 1.134E-01 2.823E-02 6.370E-02 2.309E-02 3.073E-03 0.000E+00 3.852E-01 1.674E-02 5.339E-02
  1.984E+01 2.470E+03 1.418E+02 7.454E+02 7.902E+00 7.172E+00 1.358E-09 1.969E+01 2.987E+01 3.119E-23 3.196E-01 8.006E-03 4.519E-02 2.107E-04 3.435E+03 6.245E+02 9.243E-05 7.217E-02 6.674E-03 1.393E-03 2.152E-02 4.126E-05 1.929E-03 1.119E-01 1.009E-01 7.339E-02 7.027E-02 1.134E-01 2.823E-02 6.370E-02 2.309E-02 3.073E-03 0.000E+00 3.852E-01 1.674E-02 5.339E-02
  1.984E+01 2.470E+03 1.419E+02 7.454E+02 7.902E+00 7.172E+00 1.181E-09 1.969E+01 2.987E+01 2.298E-23 3.196E-01 8.006E-03 4.519E-02 2.107E-04 3.435E+03 6.245E+02 9.242E-05 7.217E-02 6.674E-03 1.393E-03 2.152E-02 4.126E-05 1.929E-03 1.119E-01 1.009E-01 7.339E-02 7.027E-02 1.134E-01 2.823E-02 6.370E-02 2.309E-02 3.073E-03 0.000E+00 3.852E-01 1.674E-02 5.339E-02
  2.007E+01 2.433E+03 1.430E+02 7.423E+02 7.902E+00 7.172E+00 1.021E-09 1.969E+01 2.987E+01 1.765E-23 3.196E-01 8.006E-03 4.519E-02 2.107E-04 3.435E+03 6.245E+02 9.242E-05 7.217E-02 6.674E-03 1.393E-03 2.152E-02 4.126E-05 1.929E-03 1.119E-01 1.009E-01 7.339E-02 7.027E-02 1.134E-01 2.823E-02 6.370E-02 2.309E-02 3.073E-03 0.000E+00 3.852E-01 1.674E-02 5.339E-02
  2.007E+01 2.433E+03 1.430E+02 7.423E+02 7.902E+00 7.172E+00 9.241E-10 1.969E+01 2.987E+01 1.491E-23 3.196E-01 8.006E-03 4.519E-02 2.107E-04 3.435E+03 6.245E+02 9.241E-05 7.217E-02 6.674E-03 1.393E-03 2.152E-02 4.126E-05 1.929E-03 1.119E-01 1.009E-01 7.339E-02 7.027E-02 1.134E-01 2.823E-02 6.370E-02 2.309E-02 3.073E-03 0.000E+00 3.852E-01 1.674E-02 5.339E-02
