                               1                                2                                3                                4                                5                                6                                7                                8 
                  version_number                 initial_don_mass                 initial_acc_mass              initial_period_days                         compiler                            build                 MESA_SDK_version                             date 
                      "r23.05.1"          1.9999423305776218E+000          1.9999423305776218E+000          4.5617794467041068E+002                       "gfortran"                         "10.2.0"            "x86_64-linux-21.4.1"                       "20260309" 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11                               12                               13                               14                               15                               16                               17                               18                               19                               20                               21                               22                               23                               24                               25                               26                               27                               28                               29                               30                               31 
                    model_number                              age                      period_days                binary_separation                          v_orb_1                          v_orb_2                             rl_1                             rl_2           rl_relative_overflow_1           rl_relative_overflow_2                      star_1_mass                      star_2_mass                lg_mtransfer_rate                   lg_mstar_dot_1                   lg_mstar_dot_2                 lg_system_mdot_1                 lg_system_mdot_2                   lg_wind_mdot_1                   lg_wind_mdot_2              fixed_xfer_fraction                eff_xfer_fraction                            J_orb                             Jdot                          jdot_mb                          jdot_gr                          jdot_ml                          jdot_ls                jdot_missing_wind                       extra_jdot                      donor_index                 point_mass_index 
                               5          7.4415999999999997E+002          4.5617794720142098E+002          3.9586138290224278E+002          2.1951640703915409E+001          2.1951640582121179E+001          1.5000000022598812E+002          1.5000000060625615E+002         -2.2243342580023359E-001         -1.0000000000000000E+000          1.9999423194813468E+000          1.9999423305776218E+000         -2.0589895110337189E+001         -1.0826481413758472E+001         -2.0615471371560879E+001         -9.8999999999999986E+001         -2.1832567735732578E+001         -1.0826481413833354E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.6255863437724655E-010          2.4041164896225958E+053         -2.8400286729981159E+034          0.0000000000000000E+000         -4.1303677127687088E+027         -2.8400282599613448E+034          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              10          2.5958682111999997E+003          4.5617795351395444E+002          3.9586138564118284E+002          2.1951640703915427E+001          2.1951640278357075E+001          1.5000000078962000E+002          1.5000000211830545E+002         -2.2073721533594762E-001         -1.0000000000000000E+000          1.9999422918063892E+000          1.9999423305776218E+000         -2.0446077366860262E+001         -1.0824688888284820E+001         -2.0471653628083953E+001         -9.8999999999999986E+001         -2.1688749992255651E+001         -1.0824688888388668E+001         -9.8999999999999986E+001          1.0000000000000000E+000          2.2544222403913129E-010          2.4041164729886580E+053         -2.8517749898030301E+034          0.0000000000000000E+000         -4.1303675080711909E+027         -2.8517745767662793E+034          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              15          6.6944694456730022E+003          4.5617796761302674E+002          3.9586139175861774E+002          2.1951640703915473E+001          2.1951639599898598E+001          1.5000000204849425E+002          1.5000000549547434E+002         -2.1743292826965352E-001         -1.0000000000000000E+000          1.9999422299942482E+000          1.9999423305776218E+000         -2.0046576424545037E+001         -1.0819641213826676E+001         -2.0072152685768728E+001         -9.8999999999999986E+001         -2.1289249049940423E+001         -1.0819641214084220E+001         -9.8999999999999986E+001          1.0000000000000000E+000          5.5909875871315700E-010          2.4041164358366832E+053         -2.8851137657551838E+034          0.0000000000000000E+000         -4.1303670308244310E+027         -2.8851133527184805E+034          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              20          1.0995379578390035E+004          4.5617798244253845E+002          3.9586139819298228E+002          2.1951640703915526E+001          2.1951638886290826E+001          1.5000000337258774E+002          1.5000000904760643E+002         -2.2227512972838973E-001         -1.0000000000000000E+000          1.9999421649797686E+000          1.9999423305776218E+000         -2.0343392780403192E+001         -1.0823401270152260E+001         -2.0368969041626883E+001         -9.8999999999999986E+001         -2.1586065405798582E+001         -1.0823401270283417E+001         -9.8999999999999986E+001          1.0000000000000000E+000          2.8472934465370780E-010          2.4041163967599526E+053         -2.8602428022020928E+034          0.0000000000000000E+000         -4.1303664814094328E+027         -2.8602423891654449E+034          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              25          1.4000957776538229E+004          4.5617799251458865E+002          3.9586140256313570E+002          2.1951640703915555E+001          2.1951638401615867E+001          1.5000000427189823E+002          1.5000001146017755E+002         -2.3741035826664353E-001         -1.0000000000000000E+000          1.9999421208226118E+000          1.9999423305776218E+000         -2.1933563104025488E+001         -1.0842646739854157E+001         -2.1959139365249179E+001         -9.8999999999999986E+001         -2.3176235729420878E+001         -1.0842646739857679E+001         -9.8999999999999986E+001          1.0000000000000000E+000          7.6472867392273538E-012          2.4041163702194440E+053         -2.7362605195454542E+034          0.0000000000000000E+000         -4.1303660899483744E+027         -2.7362601065088450E+034          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              30          1.5416126180622468E+004          4.5617799701607908E+002          3.9586140451628364E+002          2.1951640703915572E+001          2.1951638185000615E+001          1.5000000467382611E+002          1.5000001253842532E+002         -2.5374556713854401E-001         -1.0000000000000000E+000          1.9999421010875020E+000          1.9999423305776218E+000         -2.4029921549785445E+001         -1.0865938990418721E+001         -2.4055497811009136E+001         -9.8999999999999986E+001         -2.5272594175180831E+001         -1.0865938990418751E+001         -9.8999999999999986E+001          1.0000000000000000E+000          6.4631045216203682E-014          2.4041163583577230E+053         -2.5933742930153785E+034          0.0000000000000000E+000         -4.1303659075824187E+027         -2.5933738799787877E+034          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              35          1.6135379795841851E+004          4.5617799919045478E+002          3.9586140545972165E+002          2.1951640703915579E+001          2.1951638080367953E+001          1.5000000486797114E+002          1.5000001305925639E+002         -2.6883113275297027E-001         -1.0000000000000000E+000          1.9999420915547603E+000          1.9999423305776218E+000         -2.6136337970279161E+001         -1.0887286074356798E+001         -2.6161914231502852E+001         -9.8999999999999986E+001         -2.7379010595674551E+001         -1.0887286074356798E+001         -9.8999999999999986E+001          1.0000000000000000E+000          5.3133918203799338E-016          2.4041163526281008E+053         -2.4689831338055969E+034          0.0000000000000000E+000         -4.1303658207105476E+027         -2.4689827207690149E+034          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              40          1.6423002345044260E+004          4.5617800002520136E+002          3.9586140582190910E+002          2.1951640703915590E+001          2.1951638040199281E+001          1.5000000494250372E+002          1.5000001325920428E+002         -2.7792783424021217E-001         -1.0000000000000000E+000          1.9999420878951237E+000          1.9999423305776218E+000         -2.7640536867179996E+001         -1.0901382995787451E+001         -2.7666113128403687E+001         -9.8999999999999986E+001         -2.8883209492575386E+001         -1.0901382995787451E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.7189762144781476E-017          2.4041163504284879E+053         -2.3901282494489484E+034          0.0000000000000000E+000         -4.1303657859726581E+027         -2.3901278364123696E+034          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              45          1.6518579522745895E+004          4.5617800029651346E+002          3.9586140593962841E+002          2.1951640703915601E+001          2.1951638027143517E+001          1.5000000496672851E+002          1.5000001332419203E+002         -2.8165585156080153E-001         -1.0000000000000000E+000          1.9999420867056548E+000          1.9999423305776218E+000         -2.8314107309631751E+001         -1.0907417543343898E+001         -2.8339683570855442E+001         -9.8999999999999986E+001         -2.9556779935027141E+001         -1.0907417543343898E+001         -9.8999999999999986E+001          1.0000000000000000E+000          3.6960171053448077E-018          2.4041163497135611E+053         -2.3571469521542881E+034          0.0000000000000000E+000         -4.1303657746113962E+027         -2.3571465391177107E+034          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
